league_id,season,team_id,team_name
857830,2024,1,Shake it Offense 
857830,2024,2,"When in Doubt, Pick a Brown"
857830,2024,3,Team Fone
857830,2024,4,Najee Goode Vibrations 
857830,2024,5,San Dimas High School
857830,2024,6,"No Watson, Just Problems"
857830,2024,7,The Dream Team
857830,2024,8,Team Root
857830,2024,9,Hungry Jawn
857830,2024,10,Bed Bath and Bijan
1103812,2024,1,"Honestly,  Nevermind, Her Loss"
1103812,2024,2,NOLA Privateers
1103812,2024,3,THE “GROVE”
1103812,2024,4,Sweet Magnolia Queen C
1103812,2024,5,Bayou Roo's
1103812,2024,6,Blitz Duo
1103812,2024,7,Tyler's Disney
1103812,2024,8,LAMB OF GODWIN
1103812,2024,9,NOLA Darling
1103812,2024,10,Cupcake Diva
927109,2024,1,Char Char Beans
927109,2024,2,Team TakeYoPantieOff
927109,2024,3,Justin Case You Forgot
927109,2024,5,Locked In 
927109,2024,6,Alvin and the Chipmunks
927109,2024,7,Lamarican Gangster
927109,2024,8,Breece Lightnin'
927109,2024,9,Blumken Boys
927109,2024,10,Bark Bark Bears 🐻
927109,2024,11,Yikes
1292066,2024,1,Garbage Juice
1292066,2024,2,Worst to First
1292066,2024,3,COVID-21 VIRUS
1292066,2024,4,Golden Taint
1292066,2024,5,Team 5
1292066,2024,6,Alabama Marinos 
1292066,2024,7,GVR Infection
1292066,2024,8,SCAM NEWTON  MADE ME DO IT
1292066,2024,10,A Nugget In The Hood
1292066,2024,11,Bo Knows Fantasy
967820,2024,1,Alma Jail birds
967820,2024,2,Taco Bell
967820,2024,3,The Meme Team
967820,2024,4,The Catalina Wine Mixon
967820,2024,5,Andy Reids Kankles
967820,2024,6,farmtown 9 inch slammers
967820,2024,7,Team Daddi
967820,2024,8,TOMPA BAY
967820,2024,9,. Gay kicker 
967820,2024,11,Murray  Christmas
1222001,2024,1,Speedee Dogs Club
1222001,2024,2,Let's Play Chicken
1222001,2024,4,What’s Cookin?
1222001,2024,5,Big Red
1222001,2024,6,Believers
1222001,2024,9,Zemp the Destroyer
1222001,2024,10,"Pop, Drop, and Lockett"
1222001,2024,11,KC Masterpiece
1222001,2024,12,Wickenburg Zwinner
1222001,2024,13,James's Scary Team
867129,2024,1,Real Deal Holy Fields 
867129,2024,2,Nabers Think I'm Sellin Dope
867129,2024,5,She wants  The D 
867129,2024,7,Sack-Religious
867129,2024,8,JuJu Know What  Im Saying
867129,2024,9,Mr. Rodgers Neighbourhood
867129,2024,11,I'm Yo Daddy
867129,2024,12,King Of The Hill
867129,2024,13,Kittles of Lamb
867129,2024,14,Judy_wit_Da_Cubby
963330,2024,1,Team Villegas 
963330,2024,2,H-town Houston bound
963330,2024,8,Team Richey
963330,2024,9,Team Uvalle
963330,2024,10,Bread  Simmons
963330,2024,12,Stihl Lumber Jacks 
963330,2024,13,A team
963330,2024,14,Team Avengers JAY
963330,2024,16,SWAT Ball Sharks
963330,2024,17,joe buck yourself 
1268239,2024,1,THE MOSC
1268239,2024,6,Dade County Pitbulls
1268239,2024,13,The Sun L7 Elite
1268239,2024,16,Team Los  Salvajes
1268239,2024,17,Vegas Dem Lions
1268239,2024,18,Pimpin aint  Breezy
1268239,2024,19,Team Sanchez
1268239,2024,21,Team Jay
1268239,2024,22,ATL THRASHERS
1268239,2024,23,Miami FLACO
959182,2024,2,Eks Men: Fields of Glory
959182,2024,4,Team McDaniel
959182,2024,6,Steve's  Sack Machine
959182,2024,10,Atlanta Football Team
959182,2024,12,Wayne's Dawgs
959182,2024,13,Millennium  Falcons
959182,2024,16,Dream team
959182,2024,18,Rise Up!
959182,2024,19,Brads Dawgs
959182,2024,20,Oh Chuck it
1107941,2024,1,The Real A-A-Ron 
1107941,2024,2,Stinky kyle and the boys
1107941,2024,4,Njigba's in Paris 
1107941,2024,5,GetYourButkerBackInTheKitchen
1107941,2024,6,McCaffrican Camericans
1107941,2024,8,CFeuerberg
1107941,2024,9,Muh Freedum
1107941,2024,10,Laces OUT
1107941,2024,11,Team Ramrod
1107941,2024,12,SD HAWKward
1615184,2024,1,President XiBron
1615184,2024,2,A Njigba Thielen Moody
1615184,2024,3,Big TD Committee
1615184,2024,4,Micro Penix Jr.
1615184,2024,5,Playoff Grim Reaper 
1615184,2024,6,Non Fraudulent
1615184,2024,7,Semipalmated Plovers
1615184,2024,8,Smormu James Carter
1615184,2024,10,The Real IRA
1615184,2024,11,Someone Cook'd Here
18427899,2024,1,The CommissionHER
18427899,2024,2,Denzel ward 
18427899,2024,3,I am the ComishiNOT
18427899,2024,4,Nikki's Ninjas
18427899,2024,5,The Replacements
18427899,2024,6,Broken Knee
18427899,2024,7,Bruno’s Brawlers 
18427899,2024,8,Sailors  Dream 
18427899,2024,9,The Annexation of Puerto Rico
18427899,2024,10,Crooked Shoulder
1008665,2024,1,Yippy Ki Yay Tucka
1008665,2024,2,Easy Like Sunday Morning 
1008665,2024,3,Murray Had a Little Lamb
1008665,2024,4,GlaDiATeR
1008665,2024,5,Mahomes MaAuto
1008665,2024,6,Shock The World
1008665,2024,7,Wee Generation X
1008665,2024,8,MARAUDERS Jeff
1008665,2024,9,Top GM TPG
1008665,2024,10,"ALL BARKLEY, NO BITE  "
1229261,2024,1,CeeDeez Nuts🥜
1229261,2024,2,Taylormade
1229261,2024,3,Kmet The Frog
1229261,2024,4,Am I Winning?
1229261,2024,5,Thought it was gonna be a fart
1229261,2024,6,Jeff’s Team
1229261,2024,7,Jackmerius Tacktheritrix
1229261,2024,8,Syd Sweeney if I close my eyes
1229261,2024,9,Hall So Hard
1229261,2024,10,FBI Agent Stern
1003760,2024,1,NP Elway 4 Ever
1003760,2024,3,Sheds In Boulder 
1003760,2024,9,Multiple Scorgasms
1003760,2024,12,Dirty Birds
1003760,2024,14,Skol
1003760,2024,15,BR  Covenents
1003760,2024,16,Ants Marching  CJ 
1003760,2024,17,Here 4 the Beer
1003760,2024,18,Punters Chance
1003760,2024,19,Pat McAfee's Mugshot
